ts_event,open,high,low,close,volume
2026-05-22 06:40:00+00:00,1.34185,1.34186,1.34172,1.34178,0
2026-05-22 06:41:00+00:00,1.34177,1.34192,1.34175,1.34192,0
2026-05-22 06:42:00+00:00,1.34193,1.34211,1.34189,1.34208,0
2026-05-22 06:43:00+00:00,1.34208,1.34208,1.34186,1.34189,0
2026-05-22 06:44:00+00:00,1.3419,1.34221,1.34187,1.34221,0
2026-05-22 06:45:00+00:00,1.34219,1.34223,1.34197,1.34199,0
2026-05-22 06:46:00+00:00,1.34201,1.3422,1.34197,1.34217,0
2026-05-22 06:47:00+00:00,1.34218,1.34225,1.34211,1.34217,0
2026-05-22 06:48:00+00:00,1.34222,1.34229,1.34217,1.34226,0
2026-05-22 06:49:00+00:00,1.34226,1.34227,1.34207,1.34213,0
2026-05-22 06:50:00+00:00,1.34214,1.34215,1.34208,1.3421,0
2026-05-22 06:51:00+00:00,1.3421,1.34211,1.34206,1.34208,0
2026-05-22 06:52:00+00:00,1.34208,1.34218,1.34208,1.34209,0
2026-05-22 06:53:00+00:00,1.34211,1.34222,1.34208,1.34222,0
2026-05-22 06:54:00+00:00,1.34222,1.34225,1.34197,1.34206,0
2026-05-22 06:55:00+00:00,1.34207,1.34239,1.34206,1.34238,0
2026-05-22 06:56:00+00:00,1.34237,1.34241,1.34231,1.34233,0
2026-05-22 06:57:00+00:00,1.34234,1.3424,1.3423,1.34234,0
2026-05-22 06:58:00+00:00,1.34235,1.34247,1.34233,1.34246,0
2026-05-22 06:59:00+00:00,1.34246,1.34249,1.34238,1.34242,0
2026-05-22 07:00:00+00:00,1.34241,1.34243,1.34199,1.34202,0
2026-05-22 07:01:00+00:00,1.34201,1.34209,1.34193,1.34197,0
2026-05-22 07:02:00+00:00,1.34198,1.342,1.34164,1.3417,0
2026-05-22 07:03:00+00:00,1.3417,1.342,1.34167,1.34198,0
2026-05-22 07:04:00+00:00,1.34199,1.34201,1.3419,1.34199,0
2026-05-22 07:05:00+00:00,1.34198,1.34201,1.34168,1.3417,0
2026-05-22 07:06:00+00:00,1.34169,1.34179,1.34169,1.34178,0
