ts_event,open,high,low,close,volume
2026-05-22 06:40:00+00:00,159.103,159.113,159.102,159.112,0
2026-05-22 06:41:00+00:00,159.113,159.114,159.105,159.109,0
2026-05-22 06:42:00+00:00,159.107,159.111,159.09,159.092,0
2026-05-22 06:43:00+00:00,159.094,159.103,159.094,159.1,0
2026-05-22 06:44:00+00:00,159.1,159.11,159.091,159.091,0
2026-05-22 06:45:00+00:00,159.09,159.106,159.09,159.102,0
2026-05-22 06:46:00+00:00,159.102,159.112,159.1,159.112,0
2026-05-22 06:47:00+00:00,159.111,159.114,159.106,159.113,0
2026-05-22 06:48:00+00:00,159.112,159.124,159.11,159.119,0
2026-05-22 06:49:00+00:00,159.118,159.123,159.115,159.12,0
2026-05-22 06:50:00+00:00,159.121,159.126,159.118,159.12,0
2026-05-22 06:51:00+00:00,159.117,159.117,159.113,159.116,0
2026-05-22 06:52:00+00:00,159.114,159.125,159.113,159.114,0
2026-05-22 06:53:00+00:00,159.115,159.125,159.112,159.118,0
2026-05-22 06:54:00+00:00,159.118,159.128,159.115,159.119,0
2026-05-22 06:55:00+00:00,159.118,159.122,159.107,159.109,0
2026-05-22 06:56:00+00:00,159.109,159.111,159.104,159.106,0
2026-05-22 06:57:00+00:00,159.107,159.11,159.105,159.105,0
2026-05-22 06:58:00+00:00,159.103,159.11,159.1,159.105,0
2026-05-22 06:59:00+00:00,159.106,159.111,159.104,159.106,0
2026-05-22 07:00:00+00:00,159.104,159.127,159.103,159.12,0
2026-05-22 07:01:00+00:00,159.123,159.127,159.115,159.126,0
2026-05-22 07:02:00+00:00,159.125,159.128,159.116,159.116,0
2026-05-22 07:03:00+00:00,159.118,159.126,159.108,159.116,0
2026-05-22 07:04:00+00:00,159.117,159.12,159.113,159.114,0
2026-05-22 07:05:00+00:00,159.113,159.12,159.113,159.119,0
2026-05-22 07:06:00+00:00,159.119,159.119,159.114,159.115,0
2026-05-22 07:07:00+00:00,159.114,159.127,159.113,159.127,0
2026-05-22 07:08:00+00:00,159.128,159.13,159.128,159.13,0
2026-05-22 07:09:00+00:00,159.129,159.138,159.12,159.12,0
2026-05-22 07:10:00+00:00,159.12,159.127,159.118,159.127,0
2026-05-22 07:11:00+00:00,159.125,159.13,159.124,159.129,0
2026-05-22 07:12:00+00:00,159.13,159.131,159.128,159.13,0
2026-05-22 07:13:00+00:00,159.131,159.136,159.131,159.134,0
2026-05-22 07:14:00+00:00,159.132,159.141,159.128,159.136,0
2026-05-22 07:15:00+00:00,159.138,159.14,159.117,159.117,0
2026-05-22 07:16:00+00:00,159.118,159.123,159.117,159.121,0
2026-05-22 07:17:00+00:00,159.121,159.123,159.115,159.119,0
2026-05-22 07:18:00+00:00,159.121,159.131,159.121,159.127,0
2026-05-22 07:19:00+00:00,159.126,159.137,159.125,159.127,0
2026-05-22 07:20:00+00:00,159.127,159.136,159.127,159.132,0
2026-05-22 07:21:00+00:00,159.131,159.137,159.125,159.132,0
2026-05-22 07:22:00+00:00,159.132,159.132,159.115,159.122,0
2026-05-22 07:23:00+00:00,159.121,159.124,159.116,159.12,0
2026-05-22 07:24:00+00:00,159.122,159.124,159.12,159.124,0
2026-05-22 07:25:00+00:00,159.126,159.129,159.123,159.123,0
2026-05-22 07:26:00+00:00,159.124,159.125,159.114,159.12,0
2026-05-22 07:27:00+00:00,159.119,159.119,159.112,159.115,0
2026-05-22 07:28:00+00:00,159.116,159.122,159.115,159.117,0
2026-05-22 07:29:00+00:00,159.113,159.122,159.112,159.118,0
2026-05-22 07:30:00+00:00,159.119,159.124,159.114,159.117,0
2026-05-22 07:31:00+00:00,159.118,159.133,159.116,159.128,0
2026-05-22 07:32:00+00:00,159.128,159.133,159.127,159.13,0
2026-05-22 07:33:00+00:00,159.131,159.137,159.126,159.126,0
2026-05-22 07:34:00+00:00,159.126,159.131,159.126,159.128,0
2026-05-22 07:35:00+00:00,159.129,159.132,159.122,159.125,0
2026-05-22 07:36:00+00:00,159.125,159.136,159.125,159.134,0
2026-05-22 07:37:00+00:00,159.133,159.135,159.124,159.125,0
2026-05-22 07:38:00+00:00,159.126,159.126,159.116,159.124,0
2026-05-22 07:39:00+00:00,159.125,159.133,159.125,159.131,0
2026-05-22 07:40:00+00:00,159.132,159.136,159.125,159.125,0
2026-05-22 07:41:00+00:00,159.125,159.128,159.125,159.127,0
2026-05-22 07:42:00+00:00,159.126,159.131,159.126,159.13,0
2026-05-22 07:43:00+00:00,159.128,159.133,159.127,159.13,0
2026-05-22 07:44:00+00:00,159.129,159.132,159.128,159.129,0
2026-05-22 07:45:00+00:00,159.13,159.131,159.126,159.126,0
2026-05-22 07:46:00+00:00,159.127,159.129,159.121,159.125,0
2026-05-22 07:47:00+00:00,159.125,159.125,159.116,159.118,0
2026-05-22 07:48:00+00:00,159.117,159.121,159.117,159.12,0
2026-05-22 07:49:00+00:00,159.121,159.124,159.114,159.12,0
2026-05-22 07:50:00+00:00,159.121,159.127,159.12,159.124,0
2026-05-22 07:51:00+00:00,159.122,159.133,159.122,159.131,0
2026-05-22 07:52:00+00:00,159.129,159.129,159.126,159.126,0
2026-05-22 07:53:00+00:00,159.127,159.129,159.127,159.129,0
2026-05-22 07:54:00+00:00,159.129,159.129,159.12,159.128,0
2026-05-22 07:55:00+00:00,159.129,159.142,159.128,159.136,0
2026-05-22 07:56:00+00:00,159.133,159.141,159.133,159.133,0
2026-05-22 07:57:00+00:00,159.132,159.132,159.12,159.132,0
2026-05-22 07:58:00+00:00,159.13,159.133,159.128,159.131,0
2026-05-22 07:59:00+00:00,159.128,159.137,159.127,159.129,0
2026-05-22 08:00:00+00:00,159.13,159.135,159.116,159.132,0
2026-05-22 08:01:00+00:00,159.133,159.135,159.114,159.127,0
2026-05-22 08:02:00+00:00,159.128,159.129,159.117,159.124,0
2026-05-22 08:03:00+00:00,159.125,159.125,159.118,159.121,0
2026-05-22 08:04:00+00:00,159.12,159.126,159.12,159.126,0
2026-05-22 08:05:00+00:00,159.127,159.13,159.123,159.123,0
2026-05-22 08:06:00+00:00,159.125,159.127,159.121,159.125,0
2026-05-22 08:07:00+00:00,159.122,159.128,159.115,159.121,0
2026-05-22 08:08:00+00:00,159.122,159.127,159.119,159.127,0
2026-05-22 08:09:00+00:00,159.127,159.127,159.11,159.116,0
2026-05-22 08:10:00+00:00,159.117,159.121,159.107,159.109,0
2026-05-22 08:11:00+00:00,159.108,159.115,159.101,159.115,0
2026-05-22 08:12:00+00:00,159.114,159.117,159.105,159.117,0
2026-05-22 08:13:00+00:00,159.115,159.129,159.115,159.126,0
2026-05-22 08:14:00+00:00,159.124,159.127,159.114,159.127,0
2026-05-22 08:15:00+00:00,159.127,159.127,159.106,159.113,0
2026-05-22 08:16:00+00:00,159.114,159.115,159.103,159.106,0
2026-05-22 08:17:00+00:00,159.104,159.109,159.093,159.098,0
2026-05-22 08:18:00+00:00,159.1,159.1,159.082,159.09,0
2026-05-22 08:19:00+00:00,159.09,159.092,159.081,159.081,0
2026-05-22 08:20:00+00:00,159.08,159.084,159.054,159.054,0
2026-05-22 08:21:00+00:00,159.054,159.09,159.054,159.09,0
2026-05-22 08:22:00+00:00,159.093,159.1,159.091,159.092,0
2026-05-22 08:23:00+00:00,159.092,159.101,159.092,159.096,0
2026-05-22 08:24:00+00:00,159.094,159.096,159.09,159.09,0
2026-05-22 08:25:00+00:00,159.091,159.091,159.076,159.084,0
2026-05-22 08:26:00+00:00,159.084,159.09,159.082,159.084,0
2026-05-22 08:27:00+00:00,159.085,159.091,159.085,159.086,0
2026-05-22 08:28:00+00:00,159.087,159.105,159.087,159.095,0
2026-05-22 08:29:00+00:00,159.093,159.095,159.087,159.087,0
2026-05-22 08:30:00+00:00,159.086,159.092,159.086,159.09,0
2026-05-22 08:31:00+00:00,159.092,159.104,159.092,159.093,0
2026-05-22 08:32:00+00:00,159.093,159.103,159.093,159.098,0
2026-05-22 08:33:00+00:00,159.099,159.111,159.096,159.101,0
2026-05-22 08:34:00+00:00,159.102,159.129,159.098,159.11,0
2026-05-22 08:35:00+00:00,159.113,159.128,159.108,159.109,0
2026-05-22 08:36:00+00:00,159.11,159.118,159.101,159.101,0
2026-05-22 08:37:00+00:00,159.106,159.106,159.094,159.1,0
2026-05-22 08:38:00+00:00,159.101,159.112,159.09,159.096,0
2026-05-22 08:39:00+00:00,159.098,159.101,159.087,159.094,0
2026-05-22 08:40:00+00:00,159.095,159.101,159.091,159.092,0
2026-05-22 08:41:00+00:00,159.092,159.099,159.088,159.092,0
2026-05-22 08:42:00+00:00,159.09,159.092,159.085,159.09,0
2026-05-22 08:43:00+00:00,159.09,159.092,159.082,159.091,0
2026-05-22 08:44:00+00:00,159.092,159.105,159.091,159.104,0
2026-05-22 08:45:00+00:00,159.104,159.104,159.091,159.092,0
2026-05-22 08:46:00+00:00,159.092,159.093,159.087,159.091,0
2026-05-22 08:47:00+00:00,159.091,159.099,159.091,159.095,0
2026-05-22 08:48:00+00:00,159.095,159.099,159.094,159.094,0
2026-05-22 08:49:00+00:00,159.096,159.099,159.096,159.099,0
2026-05-22 08:50:00+00:00,159.099,159.099,159.088,159.088,0
2026-05-22 08:51:00+00:00,159.088,159.09,159.078,159.08,0
2026-05-22 08:52:00+00:00,159.082,159.088,159.065,159.065,0
2026-05-22 08:53:00+00:00,159.068,159.075,159.059,159.074,0
2026-05-22 08:54:00+00:00,159.075,159.075,159.064,159.074,0
2026-05-22 08:55:00+00:00,159.073,159.089,159.07,159.089,0
2026-05-22 08:56:00+00:00,159.088,159.088,159.077,159.086,0
2026-05-22 08:57:00+00:00,159.086,159.095,159.085,159.094,0
2026-05-22 08:58:00+00:00,159.095,159.098,159.067,159.077,0
2026-05-22 08:59:00+00:00,159.075,159.1,159.075,159.09,0
2026-05-22 09:00:00+00:00,159.09,159.111,159.09,159.097,0
2026-05-22 09:01:00+00:00,159.098,159.109,159.097,159.101,0
2026-05-22 09:02:00+00:00,159.099,159.099,159.083,159.086,0
2026-05-22 09:03:00+00:00,159.086,159.1,159.086,159.1,0
2026-05-22 09:04:00+00:00,159.099,159.099,159.089,159.089,0
2026-05-22 09:05:00+00:00,159.094,159.1,159.091,159.091,0
2026-05-22 09:06:00+00:00,159.093,159.098,159.087,159.096,0
2026-05-22 09:07:00+00:00,159.094,159.101,159.09,159.094,0
2026-05-22 09:08:00+00:00,159.093,159.099,159.091,159.094,0
2026-05-22 09:09:00+00:00,159.095,159.097,159.089,159.092,0
2026-05-22 09:10:00+00:00,159.091,159.098,159.09,159.098,0
2026-05-22 09:11:00+00:00,159.098,159.101,159.098,159.101,0
2026-05-22 09:12:00+00:00,159.103,159.109,159.102,159.102,0
2026-05-22 09:13:00+00:00,159.103,159.103,159.097,159.101,0
2026-05-22 09:14:00+00:00,159.102,159.111,159.101,159.111,0
2026-05-22 09:15:00+00:00,159.111,159.128,159.111,159.127,0
2026-05-22 09:16:00+00:00,159.128,159.13,159.126,159.127,0
